@relation 212700L1_2final

@attribute 'status pozyczki' {splacona,splacona_cz,windykacja,odmowa,windykacja_sp}
@attribute 'rodzaj zrodla dochodu' numeric
@attribute 'miesieczny dochod netto' numeric
@attribute 'ktore rolowanie' numeric
@attribute 'kwota kredytu' numeric
@attribute wiek numeric
@attribute plec {K,M}
@attribute 'okres w jakim pobieral dochod' numeric
@attribute 'okres w jakim bedzie pobieral dochod' numeric
@attribute 'opoznienie splaty' numeric

@data
splacona_cz,11,1000,0,800,60,M,59,48,0
splacona_cz,11,1800,0,300,33,M,161,48,1
splacona_cz,13,1189,0,285.97,62,K,65,48,0
splacona_cz,11,1510,0,700,58,M,161,48,0
splacona_cz,11,1680,0,300,57,K,381,48,0
splacona_cz,16,655,0,500,53,K,27,48,0
splacona,17,646,0,300,40,K,50,48,16
splacona_cz,11,2100,0,600,42,M,279,48,16
splacona,11,2825,0,300,39,K,93,48,0
splacona_cz,11,2800,0,600,49,K,314,48,1
splacona,13,3541.9,0,524.09,72,K,122,48,31
splacona_cz,13,1130,0,300,62,K,99,48,0
splacona_cz,11,1290,0,600,32,K,15,48,0
splacona_cz,12,988,0,200,54,M,4,12,1
splacona_cz,12,1800,0,800,29,M,4,10,0
splacona_cz,11,1900,0,903.23,36,K,175,48,2
odmowa,17,693,0,400,49,M,15,36,0
windykacja_sp,12,1655.76,0,600,32,M,53,48,492
splacona_cz,13,997,0,300,61,K,75,48,0
splacona_cz,13,850,0,400,66,K,63,48,2
odmowa,13,968.87,0,500,56,K,10,48,0
splacona_cz,12,1200,0,300,35,K,4,14,1
splacona_cz,11,1400,0,200,49,M,10,48,0
splacona_cz,13,1700,0,500,72,M,10,48,1
splacona_cz,12,1800,0,1000,28,M,6,7,2
splacona,13,1167.94,0,300,79,K,365,48,0
splacona_cz,12,1680,1,721.94,57,K,66,48,2
splacona_cz,12,1447,1,500,29,K,17,23,1
splacona_cz,13,930,1,400,65,K,126,48,0
windykacja_sp,13,1420.41,1,500,62,M,20,48,484
splacona_cz,13,810,1,250,60,K,29,48,0
splacona_cz,11,1087,0,400,40,K,234,48,17
splacona_cz,11,1320,0,500,53,M,338,48,1
splacona_cz,13,1015,1,400,64,K,105,48,6
splacona_cz,11,3200,0,700,52,M,185,48,0
odmowa,13,544.63,0,200,63,K,64,48,0
splacona_cz,16,1340,0,500,63,K,157,48,0
splacona_cz,11,1360,1,200,46,M,115,48,0
splacona_cz,11,4000,1,1000,53,M,6,48,1
splacona,11,2050,1,408.77,33,K,24,48,0
splacona_cz,12,2000,1,200,50,K,30,48,0
splacona,17,432.87,0,200,53,K,141,48,41
splacona_cz,11,3000,1,300,60,M,208,48,3
splacona_cz,12,1000,1,200,24,M,7,24,0
splacona_cz,99,980,1,449.7,23,M,7,8,0
splacona_cz,13,665.92,1,200,65,K,121,48,4
splacona,13,1667,0,500,71,K,152,48,0
splacona_cz,13,3900,1,300,49,M,26,48,0
splacona,16,685,0,200,52,K,37,48,0
splacona_cz,16,959.6,0,200,69,K,111,48,0
splacona,13,1031,0,400,66,K,117,48,0
splacona_cz,11,1800,0,600,39,K,47,48,5
splacona_cz,13,1072,1,432.44,69,K,149,48,1
splacona_cz,17,985,1,200,20,M,9,11,1
splacona_cz,11,1136.8,0,200,26,M,5,48,0
splacona_cz,99,2800,1,200,38,K,6,6,0
windykacja_sp,11,770,1,200,47,K,99,48,449
splacona_cz,99,750,0,300,19,M,0,5,0
splacona_cz,11,2670,1,800,60,K,84,48,6
splacona_cz,16,1313.41,0,400,62,M,23,48,0
splacona_cz,13,2291,1,700,69,K,67,48,0
splacona_cz,13,1454.91,0,400,58,K,38,48,0
splacona_cz,11,2258,1,700,42,M,71,48,0
splacona_cz,13,1362,1,500,61,K,52,48,4
splacona,11,2837,1,662.69,30,M,122,48,12
splacona_cz,13,714,1,200,62,K,218,48,3
